OS,Scenario,Domain,Sent_Packets,Sent_Bytes,Recv_Packets,Recv_Bytes,isGoogle,isUpdatePayload,isFirstParty
lineage-microg,A,time.android.com,1,90,1,90,True,False,False
lineage-microg,A,update.googleapis.com,18,5898,17,7986,True,False,False
lineage-microg,A,www.google.com,10,1507,10,4250,True,False,False
lineage-microg,A,www.gstatic.com,277,42664,516,656511,True,False,False
lineage-microg,A,zo-in-f147.1e100.net,13,3590,15,8194,True,False,False
lineage-microg,B,android.l.google.com,19,6243,34,40851,True,False,False
lineage-microg,B,connectivitycheck.gstatic.com,6,643,6,550,True,False,False
lineage-microg,B,mobile-gtalk.l.google.com,15,1657,16,9411,True,False,False
lineage-microg,B,remoteprovisioning.googleapis.com,47,10480,53,37616,True,False,False
lineage-microg,B,stats.lineageos.org,9,1686,9,5003,False,False,True
lineage-microg,B,time.android.com,1,90,1,90,True,False,False
lineage-microg,B,www.google.com,10,1507,10,4250,True,False,False
lineage-microg,C,connectivitycheck.gstatic.com,6,643,6,550,True,False,False
lineage-microg,C,remoteprovisioning.googleapis.com,47,10480,53,37616,True,False,False
lineage-microg,C,stats.lineageos.org,9,1686,9,5003,False,False,True
lineage-microg,C,time.android.com,1,90,1,90,True,False,False
lineage-microg,C,www.google.com,10,1507,10,4250,True,False,False
stock,A,accounts.google.com,295,90283,458,439666,True,False,False
stock,A,agnss.goog,62,5062,146,199729,True,False,False
stock,A,android.l.google.com,506,292905,577,349545,True,False,False
stock,A,androidpay-users-pa.googleapis.com,203,59490,230,125507,True,False,False
stock,A,app-measurement.com,799,318979,870,598897,True,False,False
stock,A,clients.l.google.com,214,72431,247,120627,True,False,False
stock,A,connectivitycheck.gstatic.com,104,18518,73,26450,True,False,False
stock,A,dl.google.com,98646,6642672,250733,367212798,True,True,False
stock,A,edgedl.me.gvt1.com,50,12794,54,38799,True,True,False
stock,A,ggl-ds-es11.ue4.odcus.nmcs.gcloud.thalescloud.io,24,5501,18,5393,False,False,False
stock,A,googleads.g.doubleclick.net,63,21606,72,38293,True,False,False
stock,A,googlehosted.l.googleusercontent.com,270,35661,307,305303,True,False,False
stock,A,i.ytimg.com,81,9594,77,69562,True,False,False
stock,A,igmp.mcast.net,16,864,0,0,False,False,False
stock,A,inbox.google.com,73,22899,86,42670,True,False,False
stock,A,lh6.ggpht.com,85,6309,120,167293,True,False,False
stock,A,lpa.ds.prod.ondemandconnectivity.com,22,5102,17,5160,False,False,False
stock,A,mail.google.com,304,25663,431,604480,True,False,False
stock,A,mdns.mcast.net,122,37298,0,0,False,False,False
stock,A,mobile-gtalk.l.google.com,32,5698,30,16953,True,False,False
stock,A,notes-pa-alv.googleapis.com,10,2386,9,5038,True,False,False
stock,A,pai.googlezip.net,56,16895,76,79256,True,False,False
stock,A,people-pa.googleapis.com,9052,2829330,23825,27169116,True,False,False
stock,A,play.googleapis.com,2069,899285,2269,838440,True,False,False
stock,A,region1.app-measurement.com,95,41205,110,55806,True,False,False
stock,A,rr1.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,3723,307067,29298,37775993,True,True,False
stock,A,rr1.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,38958,3041837,259773,336905821,True,True,False
stock,A,rr2.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,417,44466,1946,2483747,True,True,False
stock,A,rr2.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,17958,1443087,113042,145730390,True,True,False
stock,A,rr3.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,12661,993247,92535,119617151,True,True,False
stock,A,sb.l.google.com,83,87444,64,20419,True,False,False
stock,A,storage.googleapis.com,8505,565157,23347,34156277,True,True,False
stock,A,time.google.com,4,360,4,360,True,False,False
stock,A,update.googleapis.com,22,7997,22,9463,True,False,False
stock,A,www.google.com,55,14719,52,25238,True,False,False
stock,A,www.gstatic.com,9894,943224,39883,51944548,True,False,False
stock,A2,accounts.google.com,258,69849,437,439222,True,False,False
stock,A2,agnss.goog,65,5260,142,195905,True,False,False
stock,A2,android.l.google.com,1066,670274,1123,719118,True,False,False
stock,A2,androidpay-users-pa.googleapis.com,161,50605,187,96826,True,False,False
stock,A2,clients.l.google.com,493,141342,584,360252,True,False,False
stock,A2,connectivitycheck.gstatic.com,276,50621,205,86264,True,False,False
stock,A2,dl.google.com,195909,13146468,526531,771556818,True,True,False
stock,A2,edgedl.me.gvt1.com,57,13219,58,38049,True,True,False
stock,A2,ggl-ds-es11.ue4.odcus.nmcs.gcloud.thalescloud.io,22,5342,16,5262,False,False,False
stock,A2,googleads.g.doubleclick.net,62,24109,66,40374,True,False,False
stock,A2,googlehosted.l.googleusercontent.com,252,34731,278,278343,True,False,False
stock,A2,i.ytimg.com,135,14449,148,171219,True,False,False
stock,A2,igmp.mcast.net,20,1080,0,0,False,False,False
stock,A2,inbox.google.com,599,65820,895,1196202,True,False,False
stock,A2,instantmessaging-pa.googleapis.com,2212,1033687,2350,834885,True,False,False
stock,A2,lh6.ggpht.com,50,3903,117,162895,True,False,False
stock,A2,lpa.ds.prod.ondemandconnectivity.com,23,5168,17,5158,False,False,False
stock,A2,mdns.mcast.net,66,21156,0,0,False,False,False
stock,A2,mobile-gtalk.l.google.com,28,5391,28,16442,True,False,False
stock,A2,pai.googlezip.net,29,6455,37,38770,True,False,False
stock,A2,region1.app-measurement.com,81,34991,90,50192,True,False,False
stock,A2,rr1.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,3895,322606,29873,38512870,True,True,False
stock,A2,rr1.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,51998,4075853,347005,448771643,True,True,False
stock,A2,rr2.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,186,21403,1215,1552381,True,True,False
stock,A2,rr2.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,19073,1524146,112501,145227107,True,True,False
stock,A2,rr3.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,13866,1082132,82070,105899184,True,True,False
stock,A2,sb.l.google.com,84,86868,72,20945,True,False,False
stock,A2,storage.googleapis.com,8686,575651,23259,34030403,True,True,False
stock,A2,time.google.com,3,270,3,270,True,False,False
stock,A2,update.googleapis.com,2649,237444,6798,9438210,True,False,False
stock,A2,userlocation.googleapis.com,8370,2959758,23459,26963572,True,False,False
stock,A2,www.google.com,69,18354,57,28331,True,False,False
stock,A2,www.gstatic.com,6354,622993,27025,34617326,True,False,False
stock,B,accounts.google.com,159,25358,295,366418,True,False,False
stock,B,agnss.goog,76,6202,203,287191,True,False,False
stock,B,android.l.google.com,705,343761,827,664736,True,False,False
stock,B,clients.l.google.com,247,71015,257,96512,True,False,False
stock,B,connectivitycheck.gstatic.com,8055,733365,31004,39763745,True,False,False
stock,B,digitalassetlinks.googleapis.com,9345,1991758,17527,23188350,True,False,False
stock,B,dl.google.com,100552,6884706,249372,365161431,True,True,False
stock,B,edgedl.me.gvt1.com,51,12868,54,38802,True,True,False
stock,B,fonts.gstatic.com,630,75679,2792,3487182,True,False,False
stock,B,ggl-ds-es11.ue4.odcus.nmcs.gcloud.thalescloud.io,22,5343,16,5261,False,False,False
stock,B,googlehosted.l.googleusercontent.com,174,21770,205,208522,True,False,False
stock,B,lpa.ds.prod.ondemandconnectivity.com,22,5119,18,5222,False,False,False
stock,B,mobile-gtalk.l.google.com,24,3554,28,16511,True,False,False
